Location,Area_sqft,BHK,Bathrooms,Floor,Total_Floors,Age_of_Property,Parking,Lift,Actual_Price,Price_per_sqft
Panvel,1954.62,2.0,2.0,4.0,5.0,7.8,0,1,22523824.0,11523.377433976937
Panvel,2083.4,3.0,2.0,32.0,2.0,5.7,1,1,25833603.0,12399.732648555246
Nerul,179.42,3.0,2.0,12.0,39.0,12.6,0,0,3101299.0,17285.1354364062
Kharghar,498.77,2.0,3.0,2.0,9.0,9.9,0,1,4547261.0,9116.949696252783
Nerul,1121.27,2.0,2.0,1.0,10.0,6.3,1,0,11122091.0,9919.19073907266
Belapur,1080.17,2.0,3.0,12.0,6.0,2.9,0,1,14998430.0,13885.24954405325
Kharghar,644.0,3.0,1.0,32.0,24.0,20.2,1,1,11734700.0,18221.583850931678
Airoli,1213.81,2.0,2.0,31.0,19.0,18.6,1,1,20884979.0,17206.135227094852
Ghansoli,1711.77,1.0,3.0,15.0,35.0,4.4,1,1,24546940.0,14340.092418958155
Panvel,578.74,1.0,3.0,16.0,17.0,8.4,0,0,9015840.0,15578.39444310053
Ulwe,910.51,4.0,2.0,10.0,24.0,13.0,1,0,16383211.0,17993.44433339557
Kharghar,1681.07,2.0,4.0,25.0,35.0,13.5,1,1,18170145.0,10808.678401256344
Airoli,1488.47,3.0,4.0,33.0,36.0,1.5,0,0,20461326.0,13746.549141064314
Cbd Belapur,423.82,1.0,2.0,29.0,8.0,15.9,0,1,7873901.0,18578.408286536738
Kharghar,458.39,4.0,1.0,7.0,32.0,11.3,0,0,6297912.0,13739.200244333428
Nerul,1077.56,1.0,1.0,5.0,14.0,9.7,0,0,17898476.0,16610.18968781321
Ghansoli,939.3,2.0,3.0,2.0,25.0,16.7,1,0,17619381.0,18757.991057170235
Kharghar,708.04,2.0,3.0,16.0,2.0,11.0,0,1,13022649.0,18392.532907745324
Belapur,723.05,2.0,3.0,15.0,38.0,11.8,0,0,11197502.0,15486.483645667658
Cbd Belapur,575.4,2.0,4.0,2.0,18.0,4.0,1,0,6377049.0,11082.810218978102
Panvel,993.51,2.0,1.0,1.0,17.0,1.2,0,0,15921135.0,16025.138146571247
Belapur,699.03,1.0,2.0,0.0,6.0,15.4,0,0,12776701.0,18277.757750025034
Airoli,1003.04,1.0,3.0,12.0,14.0,18.3,0,0,18092214.0,18037.38036369437
Nerul,2837.13,2.0,2.0,18.0,20.0,10.8,0,0,43956251.0,15493.21003972324
Ghansoli,1459.78,2.0,2.0,0.0,39.0,7.4,1,0,24686720.0,16911.26060091247
Vashi,1068.96,1.0,1.0,34.0,22.0,7.4,1,0,13497333.0,12626.602492141894
Vashi,829.39,4.0,1.0,30.0,21.0,0.9,1,1,13153295.0,15858.998782237548
Kharghar,550.62,4.0,2.0,34.0,20.0,17.7,1,0,6001513.0,10899.555047037884
Belapur,1365.02,2.0,3.0,31.0,13.0,4.9,0,0,15652185.0,11466.63418851006
Panvel,967.11,1.0,1.0,2.0,27.0,11.0,0,0,13404516.0,13860.384030772095
Ulwe,394.05,4.0,1.0,23.0,19.0,7.3,0,0,5470237.0,13882.08856744068
Nerul,1182.03,4.0,3.0,25.0,12.0,8.5,1,1,19459248.0,16462.566939925382
Panvel,727.0,2.0,3.0,15.0,27.0,0.2,1,1,11633168.0,16001.60660247593
Panvel,1952.11,4.0,1.0,0.0,19.0,6.1,1,0,27151087.0,13908.584557222699
Nerul,418.33,2.0,3.0,4.0,25.0,7.6,1,0,8738722.0,20889.541749336648
Kharghar,496.24,4.0,2.0,3.0,7.0,15.4,1,0,8122461.0,16368.009430920521
Panvel,927.81,4.0,1.0,6.0,29.0,9.6,0,1,20037781.0,21596.85819294899
Ghansoli,780.04,1.0,3.0,3.0,33.0,14.3,1,1,14029231.0,17985.271268140095
Belapur,1184.84,4.0,2.0,20.0,5.0,1.2,1,0,12513789.0,10561.585530535769
Belapur,846.14,2.0,1.0,32.0,31.0,20.6,1,1,12066978.0,14261.20736521143
Vashi,1093.17,4.0,3.0,17.0,7.0,10.4,0,1,21612355.0,19770.35136346588
Vashi,629.09,3.0,4.0,18.0,28.0,7.0,0,0,10090981.0,16040.599914161725
Belapur,4235.61,2.0,3.0,18.0,20.0,1.7,0,0,62891366.0,14848.242874107862
Nerul,274.36,4.0,4.0,23.0,28.0,12.3,1,0,3939939.0,14360.47164309666
Kharghar,482.94,4.0,3.0,27.0,2.0,8.1,0,0,7657954.0,15856.947032757693
Airoli,1323.73,1.0,1.0,3.0,25.0,0.2,0,0,16997233.0,12840.40778708649
Belapur,1283.44,2.0,2.0,8.0,19.0,4.4,0,1,16808074.0,13096.112011469177
Ghansoli,1363.02,2.0,3.0,10.0,24.0,17.4,1,0,25421186.0,18650.633152851755
Ghansoli,1714.57,3.0,3.0,32.0,32.0,0.3,0,0,23092058.0,13468.133701161225
Panvel,1034.84,1.0,3.0,15.0,28.0,2.0,0,0,12958564.0,12522.287503382166
Belapur,1197.87,2.0,1.0,4.0,35.0,3.8,0,1,11232466.0,9377.03256613823
Vashi,1419.39,2.0,2.0,14.0,15.0,10.0,0,1,24764331.0,17447.1646270581
Belapur,1093.38,2.0,4.0,11.0,27.0,3.6,0,1,18535863.0,16952.809636174065
Panvel,83.73,2.0,4.0,15.0,23.0,11.9,0,1,2290711.0,27358.306461244476
Vashi,983.17,2.0,3.0,8.0,3.0,16.9,1,0,9835542.0,10003.907767730912
Panvel,1548.05,2.0,4.0,0.0,32.0,9.3,1,1,15547679.0,10043.395885145828
Ulwe,1424.58,2.0,3.0,0.0,26.0,3.3,0,0,23569276.0,16544.719145291947
Panvel,8084.51,2.0,3.0,0.0,26.0,4.7,0,0,110840830.0,13710.27186557998
Vashi,697.44,1.0,3.0,11.0,8.0,8.3,0,1,7002097.0,10039.712376691901
Cbd Belapur,865.16,2.0,4.0,5.0,37.0,11.3,0,0,11520142.0,13315.620232095798
Ulwe,1309.25,2.0,2.0,0.0,37.0,5.8,0,0,19797083.0,15120.93412258927
Kharghar,699.47,3.0,4.0,14.0,11.0,11.0,1,0,7685783.0,10988.009492901769
Nerul,931.63,2.0,1.0,9.0,35.0,7.9,0,0,11593322.0,12444.126960273928
Belapur,468.43,4.0,3.0,14.0,31.0,9.4,1,0,6776487.0,14466.381316311936
Kharghar,1096.7,3.0,4.0,25.0,2.0,5.7,0,1,12656634.0,11540.65286769399
Kharghar,1415.9,2.0,3.0,13.0,30.0,3.6,1,1,23177388.0,16369.367893212797
Vashi,1057.52,4.0,3.0,34.0,2.0,4.9,0,0,15645716.0,14794.723504047204
Nerul,292.72,2.0,3.0,14.0,39.0,3.8,0,0,5137252.0,17550.0546597431
Panvel,1220.64,4.0,4.0,4.0,22.0,4.8,0,0,18005525.0,14750.888877965655
Airoli,582.15,2.0,3.0,25.0,15.0,1.7,0,1,8515817.0,14628.217813278365
Ulwe,659.89,2.0,3.0,18.0,35.0,9.4,1,0,7653096.0,11597.532922153692
Ghansoli,1052.8,2.0,3.0,31.0,37.0,0.1,0,1,16966460.0,16115.558510638299
Airoli,1842.6,2.0,1.0,16.0,18.0,0.1,1,1,18372861.0,9971.160859654836
Nerul,1604.03,3.0,3.0,10.0,8.0,15.9,1,1,23164298.0,14441.312194909073
Vashi,1156.67,1.0,2.0,2.0,21.0,3.2,1,0,21744586.0,18799.299713833676
Cbd Belapur,1043.51,2.0,3.0,5.0,3.0,1.3,0,0,19654020.0,18834.529616390835
Cbd Belapur,534.15,3.0,2.0,2.0,9.0,7.9,0,0,6145343.0,11504.901244968642
Belapur,961.39,2.0,3.0,10.0,39.0,8.1,1,0,14207840.0,14778.435390424282
Vashi,1085.74,2.0,3.0,21.0,35.0,5.9,0,1,14318239.0,13187.539374067455
Panvel,1668.35,2.0,3.0,5.0,34.0,4.3,0,0,28166003.0,16882.550424071687
Airoli,897.71,2.0,1.0,20.0,9.0,14.6,0,1,13303891.0,14819.809292533222
Kharghar,1437.39,2.0,3.0,23.0,37.0,5.9,1,0,23128404.0,16090.555799052448
Belapur,277.64,4.0,3.0,30.0,1.0,5.0,1,1,6403457.0,23063.884886903907
Panvel,937.52,2.0,3.0,28.0,9.0,8.1,1,1,13856282.0,14779.718832664903
Cbd Belapur,543.39,2.0,1.0,8.0,4.0,6.0,0,0,6487465.0,11938.87447321445
Belapur,586.95,1.0,3.0,16.0,5.0,6.3,1,0,7689898.0,13101.453275406762
Panvel,139.94,3.0,4.0,17.0,27.0,9.1,1,1,2377916.0,16992.396741460627
Ghansoli,782.98,1.0,4.0,3.0,14.0,1.1,1,0,13588388.0,17354.706378196122
Airoli,690.32,2.0,1.0,2.0,27.0,10.9,0,1,12770692.0,18499.66971839147
Nerul,1439.12,3.0,3.0,7.0,36.0,14.0,0,1,15849667.0,11013.44363221969
Panvel,4634.19,4.0,2.0,26.0,14.0,12.9,0,0,51815149.0,11181.058394239339
Kharghar,2018.09,2.0,4.0,8.0,6.0,8.4,0,0,23067130.0,11430.179030667612
Belapur,575.36,2.0,2.0,19.0,33.0,14.6,1,1,6465599.0,11237.484357619576
Belapur,1260.49,1.0,4.0,5.0,20.0,5.1,0,0,17262607.0,13695.155852089267
Nerul,1342.34,2.0,2.0,13.0,9.0,3.5,0,0,17719038.0,13200.111745161435
Ulwe,1151.83,2.0,2.0,0.0,21.0,11.8,1,1,15708630.0,13637.976090221648
Kharghar,878.83,1.0,4.0,0.0,30.0,2.5,1,1,14340446.0,16317.656429571134
Kharghar,908.48,2.0,4.0,21.0,15.0,0.9,1,0,16893129.0,18594.937698133144
Airoli,1224.42,1.0,3.0,20.0,27.0,2.4,0,0,17354868.0,14173.950115156564
Vashi,1371.76,2.0,4.0,27.0,21.0,2.1,1,0,22560518.0,16446.40316090278
Belapur,140.02,2.0,3.0,1.0,18.0,6.4,0,0,1372291.0,9800.678474503642
Airoli,618.84,3.0,4.0,16.0,30.0,6.2,1,0,11482040.0,18554.133540171933
Kharghar,1191.52,2.0,3.0,19.0,25.0,5.6,0,1,15691206.0,13169.066402578219
Kharghar,975.29,1.0,2.0,16.0,12.0,6.3,1,1,13202615.0,13537.11716515088
Kharghar,387.34,2.0,3.0,12.0,11.0,2.5,0,0,5316786.0,13726.405741725617
Airoli,1229.03,2.0,4.0,20.0,30.0,3.0,0,0,12448036.0,10128.341863095287
Airoli,1749.7,4.0,3.0,6.0,34.0,14.8,1,1,20496518.0,11714.30416642853
Belapur,39.43,1.0,4.0,8.0,18.0,6.8,1,0,1262787.0,32026.046157747907
Panvel,818.56,3.0,1.0,8.0,9.0,14.9,1,0,11252467.0,13746.661209929633
Vashi,1395.05,2.0,3.0,6.0,9.0,7.6,1,0,13586188.0,9738.853804523136
Vashi,1771.53,3.0,4.0,29.0,36.0,3.1,0,1,22846589.0,12896.529553549757
Nerul,1724.13,4.0,2.0,4.0,1.0,16.4,1,0,28643735.0,16613.44272183652
Ulwe,818.77,2.0,2.0,2.0,24.0,13.8,0,1,8325569.0,10168.385505086899
Airoli,1442.18,3.0,3.0,9.0,37.0,11.2,1,0,19998092.0,13866.571440458194
Kharghar,1033.55,2.0,3.0,34.0,17.0,3.8,0,0,15935413.0,15418.134584683858
Vashi,300.49,2.0,3.0,16.0,26.0,2.0,0,0,4491682.0,14947.858497786947
Panvel,1812.3,3.0,3.0,28.0,10.0,1.2,1,0,28426983.0,15685.583512663467
Cbd Belapur,697.99,3.0,1.0,29.0,3.0,12.4,0,1,7147122.0,10239.576498230634
Panvel,908.63,2.0,2.0,0.0,8.0,0.6,1,0,12005278.0,13212.50453980168
Vashi,415.29,3.0,3.0,31.0,18.0,7.0,0,0,7147217.0,17210.183245442942
Panvel,521.64,2.0,3.0,20.0,30.0,10.9,0,0,9047974.0,17345.245763361705
Ghansoli,1432.33,2.0,3.0,6.0,27.0,2.4,0,1,21778004.0,15204.599498718871
Kharghar,939.77,2.0,4.0,22.0,21.0,2.6,0,1,11029923.0,11736.832416442321
Nerul,1388.97,2.0,1.0,1.0,11.0,12.0,0,1,20392595.0,14681.810982238638
Belapur,892.54,4.0,1.0,30.0,34.0,7.0,1,0,19382457.0,21716.06538642526
Nerul,1328.15,2.0,1.0,10.0,20.0,15.6,1,0,15299529.0,11519.42852840417
Airoli,629.27,1.0,1.0,29.0,20.0,16.3,0,1,10000083.0,15891.561650801723
Belapur,1029.8,2.0,1.0,15.0,24.0,20.0,0,0,11933625.0,11588.293843464751
Airoli,503.14,4.0,4.0,27.0,35.0,1.9,0,0,10699137.0,21264.73148626625
Cbd Belapur,971.74,2.0,4.0,0.0,10.0,21.7,0,0,16516603.0,16996.93642332311
Belapur,1020.11,4.0,1.0,34.0,37.0,0.0,0,1,17885665.0,17533.0748644754
Nerul,925.26,2.0,2.0,30.0,32.0,13.1,1,1,12779946.0,13812.275468516958
Kharghar,1167.08,2.0,1.0,31.0,6.0,1.8,1,1,22026566.0,18873.227199506462
Airoli,602.62,4.0,3.0,0.0,37.0,3.9,0,0,11533528.0,19138.973150575817
Ulwe,847.9,1.0,4.0,5.0,9.0,9.5,1,1,8460770.0,9978.499823092347
Belapur,583.47,2.0,2.0,34.0,14.0,3.0,1,1,10696485.0,18332.536377191627
Nerul,72.25,1.0,4.0,12.0,6.0,17.6,0,0,1449768.0,20065.993079584776
Airoli,713.01,4.0,3.0,28.0,12.0,7.8,0,0,13140728.0,18429.935064024347
Airoli,1370.88,1.0,4.0,10.0,14.0,8.6,0,1,24638015.0,17972.408234126982
Nerul,1213.86,4.0,3.0,3.0,34.0,14.5,1,0,19263591.0,15869.697493944937
Kharghar,407.61,3.0,3.0,0.0,24.0,1.9,0,0,7707855.0,18909.877088393318
Belapur,1004.23,3.0,4.0,12.0,4.0,12.4,0,0,17200697.0,17128.24452565647
Ulwe,1557.71,1.0,3.0,24.0,6.0,11.1,1,0,26956671.0,17305.320630926166
Cbd Belapur,897.15,1.0,2.0,16.0,5.0,4.9,0,1,11426212.0,12736.122164632448
Kharghar,167.06,2.0,2.0,26.0,8.0,4.0,0,0,2583704.0,15465.724889261342
Ghansoli,816.06,3.0,3.0,23.0,10.0,19.9,0,0,12095223.0,14821.487390633043
Airoli,1017.88,1.0,1.0,6.0,30.0,3.8,1,1,15702368.0,15426.541439069439
Ghansoli,1109.26,2.0,3.0,7.0,39.0,7.7,0,1,12014217.0,10830.839478571299
Panvel,1150.33,2.0,3.0,16.0,2.0,2.7,1,0,16788503.0,14594.510270965724
Panvel,269.6,2.0,2.0,25.0,16.0,5.6,0,1,4121862.0,15288.805637982194
Panvel,1156.51,2.0,2.0,4.0,16.0,0.2,0,1,15387424.0,13305.050539986683
Kharghar,1632.93,1.0,3.0,18.0,23.0,3.4,0,0,21108639.0,12926.848670794216
Panvel,992.98,1.0,1.0,3.0,9.0,10.3,0,0,12044792.0,12129.944208342564
Kharghar,916.49,2.0,4.0,11.0,20.0,21.5,1,0,16777582.0,18306.344859191046
Nerul,919.68,2.0,2.0,8.0,31.0,13.8,0,0,13320655.0,14484.010742867085
Panvel,956.32,2.0,4.0,6.0,10.0,7.5,0,0,14627866.0,15295.995064413584
Panvel,658.13,2.0,3.0,10.0,27.0,1.9,0,1,5835196.0,8866.327321349885
Cbd Belapur,904.08,3.0,4.0,10.0,12.0,11.4,0,1,13724075.0,15180.155517210866
Panvel,1348.82,2.0,3.0,3.0,10.0,14.8,0,1,15975419.0,11843.996233745052
Panvel,1126.85,3.0,1.0,26.0,4.0,9.5,0,0,18169020.0,16123.72542929405
Kharghar,564.5,2.0,3.0,32.0,31.0,23.5,0,1,8765421.0,15527.76085031001
Vashi,947.84,1.0,4.0,9.0,4.0,14.2,1,0,12617269.0,13311.60216914247
Airoli,768.3,2.0,2.0,3.0,26.0,7.9,1,0,8579568.0,11166.950409996096
Kharghar,1614.44,1.0,4.0,30.0,4.0,16.5,0,0,20988776.0,13000.65409677659
Nerul,1221.49,2.0,3.0,15.0,6.0,2.4,1,0,11710488.0,9587.051879262213
Belapur,1373.0,3.0,1.0,6.0,33.0,10.2,0,0,15577033.0,11345.253459577567
Cbd Belapur,1052.78,2.0,3.0,4.0,17.0,8.7,1,0,14461791.0,13736.764566196167
Panvel,1218.68,3.0,1.0,14.0,5.0,4.6,1,0,19701814.0,16166.519512915613
Ulwe,828.9,2.0,4.0,11.0,36.0,10.1,0,1,9604957.0,11587.59440221981
Panvel,337.39,2.0,2.0,11.0,2.0,14.9,0,1,4968386.0,14725.943270399242
Vashi,730.73,3.0,2.0,4.0,15.0,7.2,1,0,11433181.0,15646.245535286631
Nerul,1866.76,4.0,4.0,16.0,15.0,19.2,1,0,34131825.0,18283.99205039748
Ghansoli,422.3,1.0,3.0,22.0,29.0,6.8,0,0,7357667.0,17422.84394979872
Cbd Belapur,866.97,4.0,3.0,19.0,34.0,15.9,1,0,13072748.0,15078.662468136152
Vashi,415.29,3.0,3.0,31.0,18.0,7.0,0,0,7147217.0,17210.183245442942
Ghansoli,1196.8,3.0,4.0,9.0,19.0,12.1,0,0,19469068.0,16267.603609625668
Nerul,1152.46,2.0,3.0,12.0,9.0,1.7,0,0,17149124.0,14880.450514551481
Cbd Belapur,1199.65,2.0,3.0,12.0,28.0,11.8,1,0,12610152.0,10511.525861709664
Kharghar,1235.08,1.0,1.0,30.0,18.0,3.3,0,1,22063098.0,17863.699517440167
Kharghar,796.08,3.0,4.0,32.0,25.0,9.7,0,1,13561257.0,17035.042960506482
Cbd Belapur,255.79,2.0,2.0,28.0,36.0,15.3,1,0,2525332.0,9872.676805191759
Belapur,817.69,3.0,1.0,9.0,16.0,4.9,0,0,16255538.0,19879.829764336115
Nerul,1011.53,4.0,1.0,34.0,20.0,12.6,0,0,16412597.0,16225.516791395214
Cbd Belapur,667.33,2.0,1.0,18.0,11.0,12.3,0,0,6264605.0,9387.56687096339
Cbd Belapur,1225.88,1.0,1.0,4.0,5.0,5.0,0,1,13893062.0,11333.133748817176
Vashi,697.66,2.0,1.0,2.0,17.0,10.6,0,0,9568495.0,13715.12627927644
Nerul,947.15,2.0,2.0,0.0,28.0,9.1,1,0,13073207.0,13802.678562001794
Kharghar,899.55,1.0,3.0,5.0,9.0,13.8,0,1,12518477.0,13916.377077427604
Airoli,928.7,2.0,1.0,21.0,29.0,2.1,1,0,12422844.0,13376.595240658986
Panvel,1197.88,3.0,2.0,24.0,15.0,4.8,1,0,20795194.0,17359.99766253715
Ulwe,947.52,2.0,2.0,4.0,30.0,10.4,1,0,11331173.0,11958.769208037826
Ghansoli,521.58,2.0,1.0,0.0,20.0,2.3,1,0,9017111.0,17288.068944361363
Ulwe,1040.14,4.0,1.0,8.0,8.0,4.8,1,1,20693934.0,19895.335243332625
Vashi,1081.8,4.0,4.0,31.0,8.0,1.1,0,0,14085805.0,13020.710852283231
Nerul,840.94,2.0,3.0,8.0,21.0,20.1,1,0,16511752.0,19634.875258639142
Ghansoli,594.74,4.0,3.0,33.0,19.0,6.2,0,1,9048559.0,15214.310454988734
Nerul,778.37,4.0,2.0,11.0,13.0,6.5,0,0,11832184.0,15201.233346608939
Belapur,638.53,4.0,3.0,31.0,5.0,19.1,1,0,9864072.0,15448.094842842154
Panvel,232.43,2.0,1.0,29.0,25.0,4.6,1,0,1840185.0,7917.157853977541
Panvel,342.33,4.0,3.0,2.0,26.0,8.0,1,0,5574371.0,16283.618146233168
Cbd Belapur,470.06,1.0,1.0,6.0,36.0,6.2,1,0,7590807.0,16148.59166914862
Kharghar,1038.23,4.0,3.0,23.0,33.0,8.5,0,0,20702980.0,19940.648989144986
Panvel,752.74,3.0,3.0,10.0,28.0,14.3,0,1,9104919.0,12095.702367351276
Ulwe,876.74,2.0,2.0,32.0,6.0,5.9,0,0,11968446.0,13651.07785660515
Belapur,247.8,2.0,4.0,13.0,12.0,10.7,0,1,4716255.0,19032.506053268764
Nerul,980.99,3.0,3.0,1.0,19.0,17.1,0,1,17000072.0,17329.50590729773
Belapur,1771.8,2.0,4.0,7.0,29.0,2.4,0,0,16392363.0,9251.813410091432
Panvel,858.56,3.0,4.0,34.0,6.0,2.0,0,0,13655228.0,15904.803391725682
Airoli,487.22,4.0,1.0,12.0,33.0,9.9,1,0,5883673.0,12076.008784532654
Vashi,822.74,2.0,4.0,26.0,33.0,11.6,0,0,11571300.0,14064.34596591876
Ghansoli,565.95,1.0,1.0,25.0,14.0,8.9,0,1,8575613.0,15152.598286067672
Cbd Belapur,961.7,2.0,1.0,14.0,14.0,6.4,0,0,14634228.0,15217.040657169595
Nerul,1303.24,2.0,4.0,16.0,27.0,7.5,0,1,17561010.0,13474.885669562014
Nerul,901.03,2.0,2.0,21.0,21.0,2.5,0,0,12894406.0,14310.739930967893
Belapur,620.59,2.0,1.0,31.0,21.0,7.8,0,0,9125178.0,14704.036481412848
Vashi,573.15,1.0,3.0,10.0,39.0,1.3,1,0,10375304.0,18102.248974962924
Panvel,687.22,2.0,3.0,0.0,30.0,5.7,0,0,6323513.0,9201.584645382847
Ghansoli,1427.32,2.0,4.0,1.0,14.0,2.0,0,0,14898048.0,10437.777092733235
Kharghar,645.03,2.0,3.0,27.0,22.0,3.4,1,0,7460324.0,11565.855851665814
Panvel,972.29,2.0,3.0,33.0,28.0,14.6,1,1,13630587.0,14019.055014450421
Vashi,4756.75,2.0,3.0,2.0,28.0,10.0,0,0,66069798.0,13889.693172859621
Panvel,973.88,2.0,1.0,7.0,35.0,8.6,1,1,17643264.0,18116.466094385345
Ulwe,948.9,4.0,3.0,14.0,20.0,8.1,1,1,19454550.0,20502.21308883971
Kharghar,1150.37,1.0,1.0,17.0,29.0,2.1,0,0,21995843.0,19120.668132861603
Nerul,976.01,3.0,3.0,23.0,39.0,12.9,1,0,15362826.0,15740.43913484493
Vashi,1326.47,4.0,1.0,8.0,20.0,9.2,1,0,22643845.0,17070.75546374965
Ghansoli,1096.91,1.0,2.0,10.0,33.0,19.0,0,0,10423907.0,9502.973808243156
Ghansoli,1619.03,2.0,2.0,18.0,17.0,10.5,1,0,23533099.0,14535.307560699926
Ghansoli,615.1,2.0,1.0,25.0,9.0,4.4,0,1,9837310.0,15993.02552430499
Kharghar,1276.92,2.0,1.0,32.0,33.0,13.7,1,0,16974038.0,13292.953356514112
Ghansoli,733.41,1.0,4.0,24.0,18.0,7.4,0,1,12215742.0,16656.08868163783
Kharghar,759.51,4.0,3.0,9.0,9.0,13.2,1,1,14594325.0,19215.448117865468
Panvel,1636.36,2.0,1.0,5.0,1.0,7.4,0,0,30987241.0,18936.68935930969
Vashi,1229.48,2.0,4.0,22.0,17.0,8.2,1,0,13180090.0,10720.052379867911
Ghansoli,2197.07,3.0,1.0,6.0,26.0,7.9,1,0,26024688.0,11845.179261470957
Airoli,960.15,2.0,4.0,23.0,16.0,3.7,0,0,16215457.0,16888.46221944488
Kharghar,447.96,2.0,3.0,29.0,32.0,5.9,0,0,8636409.0,19279.42003750335
Ulwe,859.68,2.0,1.0,30.0,23.0,16.6,1,0,12209499.0,14202.376465661642
Kharghar,1714.8,4.0,2.0,1.0,38.0,15.0,0,1,28035990.0,16349.422673198042
Panvel,1463.62,4.0,2.0,31.0,4.0,13.2,1,1,18685421.0,12766.579440018584
Panvel,1020.22,3.0,2.0,29.0,4.0,10.5,0,0,11812385.0,11578.272333418283
Kharghar,1148.69,2.0,3.0,15.0,15.0,7.2,0,1,17349709.0,15103.908800459654
Airoli,875.3,1.0,3.0,25.0,11.0,6.0,0,0,13849103.0,15822.121558322862
Kharghar,967.63,2.0,2.0,9.0,39.0,3.0,0,1,14953121.0,15453.345803664624
Cbd Belapur,924.09,3.0,3.0,14.0,15.0,8.6,0,0,11745112.0,12709.922193725719
Vashi,1370.64,2.0,2.0,20.0,39.0,2.9,0,0,18700624.0,13643.716803828867
Ulwe,1806.55,2.0,2.0,4.0,3.0,3.5,0,0,19994513.0,11067.788325814397
Ghansoli,1040.02,1.0,1.0,7.0,34.0,8.4,1,1,13174967.0,12667.993884732987
Cbd Belapur,979.33,2.0,3.0,7.0,20.0,13.8,1,1,14574302.0,14881.911102488435
Cbd Belapur,1664.7,4.0,2.0,24.0,20.0,6.4,1,0,27621352.0,16592.390220460144
Belapur,1542.67,2.0,1.0,6.0,14.0,19.8,0,0,23564861.0,15275.373864792859
Panvel,977.01,1.0,2.0,6.0,25.0,0.5,1,0,14763486.0,15110.88525194215
Ghansoli,94.4,2.0,1.0,24.0,8.0,6.8,0,0,1514137.0,16039.58686440678
Kharghar,939.86,1.0,4.0,15.0,15.0,4.5,1,1,13674751.0,14549.774434490242
Ulwe,1082.28,3.0,3.0,24.0,24.0,2.2,1,0,16316882.0,15076.396126695496
Vashi,438.79,2.0,1.0,29.0,23.0,1.9,1,0,6199905.0,14129.549442785843
Airoli,1207.72,4.0,3.0,2.0,1.0,8.9,0,1,15703121.0,13002.286125923227
Panvel,1730.34,3.0,1.0,10.0,12.0,9.6,1,0,22806689.0,13180.466844666367
Vashi,644.7,2.0,1.0,0.0,14.0,2.8,1,0,8518248.0,13212.731503024661
Vashi,1117.3,3.0,2.0,16.0,21.0,10.4,0,0,17528005.0,15687.823324084848
Cbd Belapur,854.45,2.0,4.0,25.0,32.0,3.0,1,0,10996824.0,12870.06144303353
Nerul,530.7,3.0,3.0,7.0,2.0,6.6,0,1,8625264.0,16252.617297908422
Kharghar,846.73,4.0,4.0,1.0,3.0,11.1,0,0,17826866.0,21053.778654352627
Nerul,848.02,4.0,1.0,22.0,29.0,9.5,0,0,18309998.0,21591.469540812715
Belapur,1816.0,2.0,3.0,25.0,3.0,16.7,0,1,28570523.0,15732.666850220265
Kharghar,1111.06,3.0,3.0,27.0,31.0,5.2,0,1,20135330.0,18122.630641009488
Ghansoli,1019.01,2.0,1.0,30.0,33.0,11.1,0,0,17886791.0,17553.10644645293
Kharghar,1832.59,1.0,1.0,13.0,28.0,8.5,1,1,26022645.0,14199.92742511964
Kharghar,125.13,2.0,2.0,29.0,1.0,1.3,1,1,2387440.0,19079.67713577879
Airoli,1049.75,4.0,3.0,25.0,30.0,7.9,0,0,20075630.0,19124.20100023815
Cbd Belapur,536.51,2.0,3.0,28.0,23.0,6.4,0,1,7241877.0,13498.121190658143
Cbd Belapur,861.63,4.0,3.0,15.0,14.0,9.1,0,1,17267180.0,20040.133235843692
Belapur,1359.01,4.0,1.0,18.0,22.0,0.4,1,0,14116021.0,10386.988322381734
Belapur,544.67,2.0,4.0,7.0,19.0,12.2,0,0,8244364.0,15136.438577487286
Ulwe,1350.05,2.0,4.0,2.0,4.0,22.6,0,0,19976846.0,14797.115662382876
Ulwe,700.94,2.0,4.0,9.0,39.0,9.2,1,0,7693488.0,10975.957999258138
Kharghar,714.17,2.0,3.0,18.0,5.0,0.2,0,0,9006164.0,12610.67252894969
Panvel,1396.96,2.0,1.0,34.0,38.0,16.7,1,0,15834661.0,11335.085471309128
Kharghar,721.7,2.0,3.0,7.0,19.0,3.0,1,0,12030113.0,16669.13260357489
Panvel,1167.44,2.0,3.0,16.0,15.0,5.8,0,1,14068552.0,12050.770917563215
Kharghar,773.9,2.0,1.0,10.0,24.0,15.7,0,1,11597211.0,14985.412844036699
Panvel,937.84,1.0,3.0,24.0,4.0,13.6,1,0,12178069.0,12985.23095623987
Airoli,1112.82,2.0,1.0,0.0,34.0,2.2,1,1,17382330.0,15620.073327222732
Panvel,843.34,2.0,3.0,10.0,25.0,5.4,0,0,14881260.0,17645.623354756088
Nerul,1295.24,1.0,3.0,28.0,28.0,0.6,1,1,20549134.0,15865.116889533985
Nerul,1000.73,3.0,1.0,16.0,14.0,5.8,0,1,11566212.0,11557.774824378204
Airoli,636.1,4.0,3.0,5.0,14.0,5.8,0,0,12403740.0,19499.66986322905
Kharghar,379.55,4.0,3.0,17.0,13.0,9.7,0,1,4910119.0,12936.685548676063
Ghansoli,957.53,2.0,1.0,22.0,21.0,1.0,0,1,10130908.0,10580.251271500632
